cell_id,weighted_population,historical_density,weighted_housing_units,log_density,log_pop,r_j,cluster_label
51,5.523720545747249,1.802890032722454e-06,3.456103282843216,0.0018012667772286657,1.8754448490386408,-0.03670282709641989,1
52,5.523720545759064,1.802890032722454e-06,3.4573400720092997,0.0018012667772286657,1.8754448490404518,-0.036702827096842555,1
53,5.52372054574591,7.211560130889816e-06,3.4585770889681697,0.007185681175075084,1.8754448490384357,-0.03131841269852562,1
54,5.52372054575212,7.572138137434308e-05,3.459814333679717,0.07299148896586288,1.8754448490393876,0.03448739509204002,1
55,3.241529438756263,1.2620230229057179e-05,2.013955162131321,0.012541258854061885,1.4449239208890408,0.07450856912786037,7
56,1.9301288406281296,3.605780065444908e-05,0.9707994013111771,0.035422934418467014,1.0750463949728204,0.18370919450757645,7
57,1.4948864699791131,9.01445016361227e-06,0.7521366626413306,0.00897406254108627,0.9142432251538049,0.19478723295373482,7
58,1.0,3.786069068717154e-05,0.1688823528066654,0.037161566379562375,0.6931471805599453,0.2745722982563371,7
59,1.0,1.802890032722454e-06,0.0017018167006492,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
60,50.84370372820486,0.00019290923350130258,18.455110046680684,0.17639505765748356,3.9482334948662423,-0.34583926192732584,3
61,537.1009159214179,0.003097365076217176,198.4028382663908,1.4103441027757428,6.2880461186337095,0.3420637157854689,5
62,1422.763175709571,0.001215147882054934,564.130540288702,0.7953191651759078,7.261058768948296,-0.5000348455067439,6
63,932.642901619908,0.002664671468363787,556.0590822442392,1.2987386910379526,6.839094032808477,0.10185931136311765,0
64,57.645762293975665,0.0019110634346858014,27.938183547513137,1.0685184558987135,4.071515318336865,0.5175136466580631,3
65,51.98972055609897,5.769248104711853e-05,22.688632711697984,0.05608963055012401,3.970097942969327,-0.47124723262360607,3
66,15.034244704585385,9.194739166884516e-05,6.808271311241825,0.08796270003477523,2.774726729109977,-0.1604083417790374,1
67,5.523720545752364,1.6226010294502088e-05,3.4548789307763847,0.016095775494983776,1.8754448490394249,-0.02240831837884775,1
68,5.523720545743108,8.834161160340025e-05,3.456115496534809,0.0846550804050779,1.875444849038006,0.046150986531577495,1
69,5.523720545753948,4.1466470752616446e-05,3.457352290185494,0.04062978797227178,1.8754448490396678,0.002125694098383521,1
70,5.5237205457423775,1.802890032722454e-05,3.4585893116277755,0.017868307044835906,1.875444849037894,-0.020635786828638404,1
71,5.523720545754069,0.00015144276274868616,3.45982656082202,0.1410157323551134,1.8754448490396862,0.10251163848122086,1
72,2.471627010702715,0.00045252539821333596,1.4963985991457671,0.3733036954522141,1.2446233632343282,0.48201548889337364,7
73,2.763075157114624,5.408670098167362e-06,1.3897391137760715,0.005394095770254811,1.3252364840705324,0.09529306754921903,7
74,2.7630751571151113,3.2452020589004175e-05,1.390236009416027,0.031936575610133675,1.3252364840706619,0.12183554738906764,7
75,2.744277920871847,1.6226010294502088e-05,1.381275277787189,0.016095775494983776,1.320228786862457,0.10716340212239653,7
76,2.2655595540536413,3.786069068717154e-05,1.200201878517601,0.037161566379562375,1.1834311275403617,0.1601538963547275,7
77,1.0,3.064913055628172e-05,0.3334191415599855,0.030188827574948156,0.6931471805599453,0.2675995594517229,7
78,132.90527350327278,0.00018750056340313524,48.59602186921636,0.17185073137129214,4.897132635814602,-0.5718298010495623,2
79,1003.677667865014,0.001981376145961977,444.13808192769375,1.0923849878702754,6.91242204055627,-0.12160707418546246,6
80,3528.205423206482,0.004876817538514239,1937.807308588429,1.7710153804434734,8.168828032014138,0.2638137067584183,0
81,706.4940439624061,0.001591951898893927,401.54969504670265,0.9524112207923441,6.561729211054263,-0.17973905680950453,6
